web-scraper-order,web-scraper-start-url,cards,cards-href,nom,prix,adresse,image_lien
"1752744578-64","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Couple Cochin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-cochin-1577201","Couple Cochin","Prix sur demande","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1577201_uploaded_image1_1580561085.8.png)"
"1752744580-65","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Oies","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/oies-1584132","Oies","90 000 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1584132_uploaded_image2_1580714620.25.png)"
"1752744583-66","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Femelle cochin bleu","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/femelle-cochin-bleu-1599500","Femelle cochin bleu","30 000 CFA","Les Parcelles Assainies, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1599500_uploaded_image1_1580916087.86.png)"
"1752744585-67","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poule","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poule-1645136","Poule","55 000 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1645136_uploaded_image1_1581608040.8.png)"
"1752744587-68","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Blond Panoramin","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/blond-panoramin-1654385","Blond Panoramin","40 000 CFA","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1654385_uploaded_image1_1581775358.47.png)"
"1752744590-69","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Lapin métissé","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-metisse-1687460","Lapin métissé","10 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1687460_uploaded_image1_1582336381.54.png)"
"1752744592-70","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Paon","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/paon-1691196","Paon","250 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1691196_uploaded_image1_1582420837.2.png)"
"1752744595-71","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Coq Orpington Fauve","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-orpington-fauve-1699722","Coq Orpington Fauve","35 000 CFA","Louga, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1699722_uploaded_image1_1582581938.31.png)"
"1752744597-72","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Pigeons","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/pigeons-1712742","Pigeons","65 000 CFA","Dakar-Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1712742_uploaded_image1_1582798028.37.png)"
"1752744600-73","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=9","Poussin Orpington","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poussin-orpington-1716103","Poussin Orpington","5 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1716103_uploaded_image1_1582837127.36.png)"
